title,url,date,content,author,views,recommend,dislike,comments
테슬람인데 전기차랑 테슬라는 좀 다름,https://gall.dcinside.com/mgallery/board/view/?id=stockus&no=9730570,2025-02-11 16:54:09,"2024 모델y 타는데테슬람들이 흉기 전기차랑은 다르다는 이유가 뭔지 알겠음슈퍼차저 가격도 내렸고 차 살때 딴 사람이 내 코드 쓰면 33만원치 적립해주는거 충전비로 쓸 수 있는데 거의 6개월은 쓰는거같고... 승차감 ㅈㄴ 아반떼 삘인거만 감안하면 어느정도 돈값은 한다고 할 수 있음 (깡통 4800 선수금+무이자 할부로 삼)근데 테슬라여도 독 3사 높은 라인 살수 있으면 살 이유가 없는건 맞음 왜냐면 전기차는 결국 장점이 유지비 절약이기 때문임.가끔 독 3사보다 테슬라라는 진성 테슬람이 있는데일단 차 내장재에 고급스러움이 전무해서 여자들 눈에 좋은차라기 보다는 신기한차라는 인식이 있고 승차감은 도대체 어디 팔아먹었는지 아는데 무시하는건지 모르겠음독3사 전기차는 어떠냐 하는데 나는 포지션이 애매해서 잘 안팔리는거라 생각함. 독3사 차값이 얼만데 그냥 기름넣고 말지 벤츠 eqc같은거 보면 충전주기가 너무 빨리돌아옴;;; 타이칸은 빼고승차감이 뭐가안좋냐 2열 승차감이 안좋음나 술먹어서 엄마가 운전한적 있었는데 진지하게 택시 아이오닉 5,6보다 시트 인심 짧은거때메 너무너무 불편함성인남자가 안불편하려면 175 미만에 숏다리여야 함컴포트 타이어를 꼈을때 쇼바 느낌이 택시 타이어 낀 아이오닉 정도라 생각함. 물론 이전년식이 더 안좋아서 내차 1열 정도면 좋다 생각함물론 본인 성격이 월지출에 민감해서기름값때메 차를 안탈때가 있는정도면 강력추천함.그러나 같은 사이즈 흉기가 할인때려서 천만원 정도 싸면 그냥 아이오닉 ev6 사셈...",ㅇㅇ (140.248),48,0,0,0
아반떼셀토스는 혼자타기에도 너무 작지않냐?,https://gall.dcinside.com/board/view/?id=car_new1&no=10379912,2025-02-11 16:32:51,차가 너무 ㅈ만하던데이걸 패밀리카로 쓰는 ㅂㅅ들도 있네,ㅇㅇ (106.101),33,0,2,0
전기차 쇼크도 그나마 일찍 터져서 다행이지,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4426732,2025-02-11 16:28:54,아반떼ev는 생각만 해도 끔찍하다,ㅇㅇ (118.235),39,0,0,0
첫차아반떼vs 스포티지,https://gall.dcinside.com/board/view/?id=car_new1&no=10379903,2025-02-11 16:27:54,예산은 둘다 살돈 있다고 치면 20대 첫차 뭐가 나음?? 둘다 20년식일텐데- dc official App,차갤러 (182.222),77,0,0,0
울프그레이 한번을 못보네,https://gall.dcinside.com/board/view/?id=car_new1&no=10379896,2025-02-11 16:25:39,k5랑 스포티지랑 시멘트 왜이리 안 보이노아반떼만 엄청 보이네- dc official App,알도링 (211.205),42,0,0,0
내일 해뼈먹고 천만원에 팔고아반떼사야지 ㅋㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=wcserver&no=990883,2025-02-11 15:29:25,ㅋㅋㅋㅋ 개꿀,바갤러 (175.223),264,0,0,0
렌트카 승계 후 매입,https://gall.dcinside.com/mgallery/board/view/?id=used_car&no=30238,2025-02-11 15:11:56,아반떼 CN7 6만5000정도 탄 장기렌트카 이용중인데 계약 8개월 남았지만 테슬라 프로모션 때메 어쩔수 없이 차를 미리 사게 됨.남은 월이용료 땅바닥에 버릴뻔 했다가 친구가 안그래도 CN7 중고로 알아보고 있다고 그래서 승계 후 매입하는 방향으로 계산좀 해봤음현대캐피탈이랑 상담 해보니까 남은 월 이용료 + 매입 시 발생하는 금액 + 취등록세 금액이 나오는데 이렇게 해도 중고 CN7 비슷한 키로수 사는거보다 훨씬 싸더라고?혹시 이렇게 했을 때 발생하는 문제라도 있음? 뭔가 놓치고 있는게 있나 싶어서물론 차는 ㅈㄴ 깨끗하게 탔음 집에 주차중이었는데 누가 갖다 박아서 문 한쪽 교체한거랑 언더커버 씹창난거 빼곤 사고 X 언더커버는 갈아줘야지,중갤러 (222.103),42,0,0,0
"아이3명 = 팰리세이드, 아이2명 = 그랜저, 싼타페",https://gall.dcinside.com/board/view/?id=car_new1&no=10379678,2025-02-11 14:51:47,"미혼 = 쏘나타, 아반떼",차갤러 (223.62),59,0,0,0
아반떼신차기준 수리비 4~500 나오면,https://gall.dcinside.com/board/view/?id=car_new1&no=10379673,2025-02-11 14:50:21,감가는 어느정도 처맞음?,ㅁㄹ (59.8),34,0,0,0
사람들 보통 다른사람차에 관심많음편임?,https://gall.dcinside.com/board/view/?id=car_new1&no=10379641,2025-02-11 14:39:46,본인 31인데 20대까지 아반떼md 500주고 사와서 계속타다가 썩차소리도 너무많이 듣고 뒤털림? 겪을때가 먾아서 2년전쯤 메기타 점육사서 타고다니는중인데이거 타고다니면서 친구들이나 회사다니다보면 가끔식 그거살바에 뭐산다 이런얘기를 너무많이 듣거든 왜그거삿냐 이런소리나도 외제좋고 그런거 아는데 카푸어소리듣기싫어서 비싼돈주고도 쏘나타 산거거든 중고는 싫고해서 보통 나같지않음?,차갤러 (118.235),41,0,0,0
차종 코드,https://gall.dcinside.com/mgallery/board/view/?id=hyunchoc&no=45978,2025-02-11 14:35:19,아반떼 CN7쏘나타 DN8그랜저 GN7아이오닉6 CE베뉴 QX코나 SX2투싼 NX4싼타페 MX5펠리세이드 LX3넥쏘 FE아이오닉5 NE아이오닉9 MEG70 IKG80 RG3G90 RS4GV60 JWGV70 JKGV80 JXGV80 쿠페 JX1포터 HR스타리아 US4ST1 A01,모과생강 (222.119),378,7,0,0
차보다가공부하다가,https://gall.dcinside.com/mgallery/board/view/?id=entp&no=843455,2025-02-11 14:35:01,미니컨트리맨존나예뻐서감탄하다가그래도세단사라고하겟지싶어서그랜저보다가케팔떠서보니까이씨발존나예쁘노하다가나같은병신은아반떼아닌가?하고보다가과학5호기도괜찬노하다가근데이거아빠가뺏어타려고그랜저부른거아녓나?하며그랜저로회귀함,옆구멍아메바 (175.193),65,0,0,0
난 rp5때문에 오딘2 샀었음,https://gall.dcinside.com/mgallery/board/view/?id=retrogame&no=31896,2025-02-11 14:31:57,난 처음엔 딱 rp4p까지만 생각하고 있었고오딘은 rp4p에서 최소 두배는 줘야 해서 갈 생각도 안했었음근데 rp5가 rp4p의 단점을 대부분 개선한 완전판 느낌으로 나왔고예상 가격이 rp4p와 오딘2 가운데에 자리잡음그러다 보니까 오딘2 베이스가 세일때 36만원대에 나오면서20만 중후반 주고 rp5살바엔 차라리 오딘으로 가자는 생각이 들었고오딘으로 급커브 틀게 됨자동차 구입할 때도 그돈씨라고는 해도아반떼랑 외제차만 있으면 아반떼에서 외제차로는한번에 안 올라가듯이rp4p에서 오딘으로는 넘어갈 생각도 안했는데중간에 소나타 그랜저 있듯이 중간에 rp5가 생기니까그돈씨 하면서 오딘2로 올라가게 되더라,ㅇㅇ (114.201),120,1,0,0
도대체 직영새끼들 왜 코드네임으로 부르는거임?,https://gall.dcinside.com/mgallery/board/view/?id=hyunchoc&no=45967,2025-02-11 14:10:25,그냥 아반떼 베뉴 코나라고하면되지일알려줄때 CN7은 플러그가 어쩌고~ Qx는 볼트위치가 어쩌고 SX2는~~~~ 이지랄 ㅋㅋㅋ,촉촉이 (211.235),280,0,0,0
쏘나타디엣지는 아우디급 웰컴라이트,https://gall.dcinside.com/board/view/?id=car_new1&no=10379534,2025-02-11 13:45:19,연비는 아반떼급힘은 그랜저급그랜저와 동일 플랫폼수출용실내공간은 5실 e클급디자인은 우르스급사실상 쏘나타는 생태계교란종,차갤러 (223.62),159,3,2,0
쏘나타디엣지가 사기인 이유.txt,https://gall.dcinside.com/board/view/?id=car_new1&no=10379517,2025-02-11 13:38:20,연비는 아반떼급힘은 그랜저급그랜저와 동일 플랫폼실내공간은 5실 e클급디자인은 우르스급,차갤러 (223.62),132,3,1,0
내년아반떼풀체 비싸지면,https://gall.dcinside.com/board/view/?id=car_new1&no=10379515,2025-02-11 13:37:15,중국 전기차 사야겠다,ㅇㅇ (211.234),44,0,0,0
아엔>디엣지 ㅋㅋ,https://gall.dcinside.com/board/view/?id=car_new1&no=10379494,2025-02-11 13:30:18,718>M340i>아반떼N>코나N>디엣지- dc official App,차갤러 (222.120),60,0,0,0
쏘나타디엣지가 좋은 이유,https://gall.dcinside.com/board/view/?id=car_new1&no=10379480,2025-02-11 13:26:49,연비는 아반떼급힘은 그랜저급그랜저와 동일 플랫폼수출용실내공간은 5실 e클급디자인은 우르스급,차갤러 (223.62),65,0,1,0
차갤 우주명차목록,https://gall.dcinside.com/board/view/?id=car_new1&no=10379464,2025-02-11 13:23:43,HG300디엣지AD아반떼스포츠,초텐쨩! (118.235),59,0,1,0
"디엣지 = 공간 그랜저급, 연비아반떼급",https://gall.dcinside.com/board/view/?id=car_new1&no=10379455,2025-02-11 13:21:35,외관 우르스급,차갤러 (39.123),55,0,0,0
면허 1트에 따도 의미가 없다,https://gall.dcinside.com/mgallery/board/view/?id=digitalpicture&no=1432830,2025-02-11 13:15:13,아반떼 중고값 카메라에 들이 박아서 차살돈이 없어짐...- dc official App,Presto (14.7),172,0,0,0
근데 디엣지 디자인 예쁘긴해,https://gall.dcinside.com/board/view/?id=car_new1&no=10379414,2025-02-11 13:07:46,아반떼 타고있는데예쁘긴함 ㅇㅇ,차갤러 (211.230),83,1,0,0
시대별 고장 잘 나는 차 모음,https://gall.dcinside.com/board/view/?id=car_new1&no=10379368,2025-02-11 12:54:14,SM5 1세대아반떼HDLF쏘나타- dc official App,차갤러 (118.235),67,0,0,0
g80 > 디엣지 1.6 > 530I >아반떼> 520I,https://gall.dcinside.com/board/view/?id=car_new1&no=10379341,2025-02-11 12:45:31,참고로 본인 현대차 13년차다나보다 차못알면 반박시 차알못,차갤러 (39.123),61,1,0,0
쏘나타 올려치는 좆그지새끼 특징,https://gall.dcinside.com/board/view/?id=car_new1&no=10379339,2025-02-11 12:45:04,"그랜저하고 비교할땐유지비가 싸고 가속력이 좋고 주차가 편하고 플랫폼이 어떻고 궁시렁궁시렁 이래서 쏘나타가 더좋다 자위하고아반떼하고 비교할땐ㅈ반떼 장점 다 깡그리 씹고선""급 자체가 다른데 비교가 되냐 소나타 압승""​ㅋㅋ​ㅇㅈㄹ하는 새끼들이 5실ㅋㅋㅋ개웃김ㅋ",ㅇㅇ (39.7),94,3,0,0
아반떼ㅡ 소나타 ㅡ 그랜저 순으로 외부 디자인 좋음,https://gall.dcinside.com/board/view/?id=car_new1&no=10379318,2025-02-11 12:38:57,신형 기준임반박불가현대차는 아반떼 디자인이 제일 조음제네시스는 따로 빼야지,ㅇㅇ (211.234),49,0,0,0
박시내 핸펀 백퍼있었을거임,https://gall.dcinside.com/board/view/?id=sbsdocu&no=994380,2025-02-11 12:36:39,2000년도 전후 애니콜 보편화되있었음.진짜 핸펀이 없었다면 삐삐라도 있었을거임.백퍼라고 확신하는이유는렌트카를 빌린부분에서임.그당시에는 렌트카빌리려면 렌트카업체에직접 방문해서 계약서 써야했음.면허증. 폰번호 다 필요했음.구라로는 안됨.그리고 23세여자면 운전경력이 길어봐야3년이라서초보운전에 가깝기때문에 빌리기 ㅈㄴ까다로웠음.그리고 그당시 차렌트는 선불였음.미리 언제부터 언제몇시까지 사용한다 저고 돈내야됨.요즘 쏘카 이런거처럼 저렴하지않음.당시 빌린차가 마르샤인가 쏘2임.23세면 좀 싼 아반떼같은소형을 빌릴만도한데준중형을 빌린것도 씀씀이가 드러나는 부분임.결론은당시 분명히 핸펀이나 삐삐가 있었을건데이부분 수사가 부실했다생각함.이사건은 미스테리인것이 아니라부실수사로 인한 미스테리화된 사건이라 봄.,그갤러 (223.39),206,3,1,0
후방센서 없는 엄마 마티즈 2년 몰다가...,https://gall.dcinside.com/mgallery/board/view/?id=prospect&no=4406736,2025-02-11 12:31:40,아빠 찬스 써서 아반떼 ad 장만했는데후방 카메라랑 센서맛을 보니 신세계였던 ㅋㅋ때마침 아빠신 팰리세이드 새로 뽑으셨는데와 무슨 차가 아니라 컴퓨터 타고 가는 기분이던- dc official App,ㅇㅇ (175.215),99,0,0,0
아반떼ad 1.6,https://gall.dcinside.com/mgallery/board/view/?id=used_car&no=30227,2025-02-11 12:28:01,연비어떻냐 공인13이라는데 ㄱㅊ음?ad는 2열폴딩없냐? 있는 옵션도있냐? 씨보레 타다와서 2열폴딩은 있음좋겠어밟으면 나름 ㄱㅊ게 잘나가냐??,ㅇㅇ (121.185),39,0,0,0
아반떼풀옵션이 3300밖에 안한다고?,https://gall.dcinside.com/board/view/?id=car_new1&no=10379279,2025-02-11 12:25:09,사야겠지?- dc official App,차갤러 (211.235),61,0,0,0
"포모 신차 현대 i20N,아반떼N 사진",https://gall.dcinside.com/mgallery/board/view/?id=forzahorizon&no=165682,2025-02-11 12:20:02,포르자 모터스포츠 신차 상점 추가된 i20 N커스텀에 maxton 스플리터 세트 포함엔진룸정말 개 뜬금없는 우핸들 사양스캔한 차량이 우핸들이었나봄노말 엘란트라 N상점 추가는 아직 한참 남은 3월 6일 오전 9시부터현재 자유주행에서 테스트 드라이브만 가능엘란트라N TCR도 추가되어 벨엔tcr과 함께 투어링 추천 멀티에서 이용 가능i30N은 13일 오전9시부터 상점 이용 가능아이오닉 5N은 오픈 클래스 투어 보상,458 (211.198),280,7,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=employment&no=2055064,2025-02-11 12:12:04,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",취갤러 (125.186),147,0,1,0
밤비는 운전 면허 있으면 군용차 타야될듯 ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=bleach&no=503860,2025-02-11 12:11:58,밤비는 일본과학차 프리우스 하고 한국 과학차 k시리즈 아반데 그렌저 제네시스 하면 유류파산함 ㅋㅋㅋ- dc official App,염분덩어리김치극혐 (116.47),64,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=bluecollar&no=354148,2025-02-11 12:11:57,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",생갤러 (125.186),106,0,1,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=army&no=1820558,2025-02-11 12:11:50,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",육갤러 (125.186),173,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=jungsopd&no=1201651,2025-02-11 12:11:43,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",중갤러 (125.186),101,3,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=neostock&no=6134719,2025-02-11 12:11:36,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",주갤러 (125.186),43,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=car_new1&no=10379248,2025-02-11 12:11:29,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",차갤러 (125.186),67,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=lotto_new2&no=5318931,2025-02-11 12:11:13,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",토갤러 (125.186),45,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=bitcoins_new1&no=7937147,2025-02-11 12:11:05,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",비갤러 (125.186),155,0,1,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=maplestory_new&no=9397830,2025-02-11 12:10:57,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",메갤러 (125.186),58,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=football_new9&no=2976195,2025-02-11 12:10:48,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",해갤러 (125.186),39,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=loan_new1&no=11983837,2025-02-11 12:10:38,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",대갤러 (125.186),17,0,0,0
달에 유흥100이면 괜찮음?,https://gall.dcinside.com/board/view/?id=leagueoflegends6&no=6026622,2025-02-11 12:10:24,"29모쏠 여자랑 대화,손잡은적없음 앞으로 여자랑못만날텐데한달에 유흥100이면 ㄱㅊ?29에남자 97년생 모은돈5800만원 차는아반떼타고다님달에 적으면350 많으면420범유흥은 주에1번 한주는오피 한주는스웨 이런식으로감",롤갤러 (125.186),38,0,0,0
